topic,topic_title,category,node,node_id,company,ticker,country,share,products,note,src
hbm,HBM 高頻寬記憶體供應鏈,hw,EUV / DUV 微影,eq-litho,ASML,ASML,EU,EUV 100%,NXE / High-NA EXE:5200B,DRAM 微縮唯一微影,https://news.skhynix.com/sk-hynix-introduces-industrys-first-commercial-high-na-euv/
hbm,HBM 高頻寬記憶體供應鏈,hw,DRAM 前段設備,eq-front,Applied Materials,AMAT,US,蝕刻 ~32%,蝕刻/PVD/CVD/CMP,前段全製程核心,
hbm,HBM 高頻寬記憶體供應鏈,hw,DRAM 前段設備,eq-front,Lam Research,LRCX,US,蝕刻 ~28%,導體蝕刻/DRIE,TSV 深蝕刻,
hbm,HBM 高頻寬記憶體供應鏈,hw,DRAM 前段設備,eq-front,Tokyo Electron,8035.T,JP,塗顯 88–90%,蝕刻/coater/ALD,EUV 配套塗顯獨佔,
hbm,HBM 高頻寬記憶體供應鏈,hw,DRAM 前段設備,eq-front,KLA / Ebara,KLAC / 6361.T,US,製程控制/CMP,缺陷檢測/CMP/電鍍,良率/平坦化,
hbm,HBM 高頻寬記憶體供應鏈,hw,TSV / 減薄 / 切割,eq-tsv,Disco,6146.T,JP,減薄/切割近獨佔,backgrinder(~30µm)/dicing/DBG,突破限高瓶頸,
hbm,HBM 高頻寬記憶體供應鏈,hw,TSV / 減薄 / 切割,eq-tsv,Lam Research,LRCX,US,TSV 蝕刻,Bosch DRIE TSV,TSV 製程主力,
hbm,HBM 高頻寬記憶體供應鏈,hw,TSV / 減薄 / 切割,eq-tsv,EO Technics,039030.KQ,KR,雷射切割,femto-second grooving/full-cut,★HBM4 20–30µm 超薄晶圓由刀片轉雷射,
hbm,HBM 高頻寬記憶體供應鏈,hw,TC 熱壓鍵合設備,eq-tcb,Hanmi Semiconductor,042700.KS,KR,HBM TCB 71.2%,Dual TC Bonder / TC BONDER 4(HBM4) / Griffin 4.5,"SK 海力士主供（歷史獨家已被稀釋）；2026/6/8 獲 SK hynix KRW 44.2B『TC Bonder 4.5 Griffin』首單（~15 台、2026/9/2 前交付青州 M15X P&T）；券商估此單帶動 Hanmi 2Q26 營收回升至 ~KRW 2,276 億、營業利益 ~KRW 1,103 億",https://www.techtimes.com/articles/318013/20260609/sk-hynix-orders-hanmi-tc-bonder-45-griffin-hbm4-first-griffin-contract-worth-287m.htm
hbm,HBM 高頻寬記憶體供應鏈,hw,TC 熱壓鍵合設備,eq-tcb,SEMES,—,KR,HBM TCB 13.1%,TC bonder (NCF),三星 captive、未上市,
hbm,HBM 高頻寬記憶體供應鏈,hw,TC 熱壓鍵合設備,eq-tcb,ASMPT,0522.HK,SG,HBM TCB 5.6%,Dual-head TC bonder,SK 海力士 HBM4 部分訂單,
hbm,HBM 高頻寬記憶體供應鏈,hw,TC 熱壓鍵合設備,eq-tcb,Yamaha/Shinkawa,7272.T,JP,HBM TCB 5.6%,TC bonder,Shinkawa；三星已停用,
hbm,HBM 高頻寬記憶體供應鏈,hw,TC 熱壓鍵合設備,eq-tcb,BESI / Hanwha 精機,BESI.AS / 489790.KS,EU,Micron HBM4 / 訴訟中,TC bonder + d2w,Micron HBM4 改 BESI；Hanwha 訴訟持續中；ASMPT 7 台 dual-head 已交付 SK hynix HBM4 量產線；目前 SK hynix HBM4 TCB ~50 台中 ASMPT 約佔半數；M15X 擴產 ~100 台採購持續推進,
hbm,HBM 高頻寬記憶體供應鏈,hw,混合鍵合設備,eq-hybond,BESI,BESI.AS,EU,D2W 領導,hybrid bonder（sub-µm 對準）,用於 HBM4/4E 試產,
